id,label
0,3
1,3
2,3
3,0
4,3
5,6
6,3
7,2
8,9
9,7
10,9
11,9
12,8
13,4
14,2
15,3
16,0
17,2
18,5
19,0
20,4
21,6
22,4
23,7
24,3
25,6
26,9
27,6
28,5
29,5
30,8
31,7
32,8
33,1
34,7
35,7
36,2
37,0
38,2
39,3
40,2
41,0
42,4
43,6
44,3
45,2
46,2
47,9
48,0
49,0
50,4
51,4
52,9
53,7
54,1
55,0
56,7
57,3
58,3
59,9
60,4
61,6
62,9
63,0
64,7
65,0
66,4
67,2
68,9
69,3
70,7
71,2
72,3
73,9
74,9
75,8
76,5
77,3
78,3
79,7
80,4
81,6
82,7
83,8
84,5
85,7
86,2
87,0
88,7
89,6
90,3
91,4
92,0
93,1
94,1
95,9
96,4
97,9
98,0
99,8
100,9
101,9
102,2
103,1
104,0
105,4
106,3
107,9
108,2
109,9
110,2
111,1
112,9
113,3
114,4
115,5
116,6
117,7
118,8
119,3
120,2
121,6
122,3
123,7
124,9
125,8
126,3
127,0
128,1
129,3
130,4
131,3
132,7
133,6
134,4
135,2
136,7
137,7
138,3
139,8
140,2
141,8
142,6
143,3
144,8
145,3
146,9
147,4
148,3
149,3
150,3
151,4
152,4
153,6
154,1
155,8
156,2
157,6
158,3
159,2
160,1
161,0
162,9
163,6
164,4
165,0
166,4
167,7
168,7
169,4
170,8
171,7
172,1
173,3
174,2
175,3
176,1
177,8
178,7
179,4
180,9
181,4
182,6
183,5
184,9
185,0
186,3
187,2
188,5
189,9
190,4
191,8
192,9
193,4
194,0
195,3
196,7
197,9
198,3
199,9
200,7
201,5
202,6
203,7
204,7
205,3
206,9
207,7
208,0
209,4
210,4
211,5
212,7
213,2
214,4
215,7
216,3
217,5
218,0
219,5
220,9
221,2
222,6
223,0
224,3
225,5
226,3
227,9
228,7
229,7
230,9
231,5
232,7
233,7
234,6
235,2
236,9
237,8
238,1
239,0
240,0
241,7
242,9
243,1
244,3
245,8
246,6
247,1
248,3
249,3
250,5
251,8
252,7
253,1
254,6
255,7
256,6
257,7
258,7
259,7
260,4
261,3
262,2
263,1
264,8
265,7
266,2
267,2
268,2
269,6
270,0
271,4
272,7
273,0
274,9
275,9
276,6
277,3
278,3
279,5
280,7
281,7
282,7
283,0
284,5
285,3
286,8
287,3
288,6
289,7
290,7
291,0
292,9
293,4
294,2
295,6
296,2
297,3
298,2
299,7
300,4
301,3
302,2
303,7
304,2
305,6
306,7
307,3
308,4
309,3
310,9
311,6
312,2
313,8
314,0
315,0
316,3
317,1
318,3
319,3
320,2
321,5
322,7
323,3
324,9
325,7
326,9
327,2
328,6
329,6
330,8
331,5
332,7
333,7
334,0
335,6
336,2
337,2
338,7
339,7
340,6
341,0
342,2
343,3
344,3
345,4
346,8
347,2
348,2
349,0
350,9
351,2
352,4
353,4
354,4
355,4
356,7
357,1
358,2
359,4
360,0
361,2
362,7
363,4
364,8
365,0
366,9
367,9
368,0
369,0
370,9
371,7
372,7
373,4
374,0
375,7
376,0
377,2
378,5
379,0
380,3
381,0
382,3
383,7
384,8
385,4
386,9
387,5
388,4
389,3
390,9
391,2
392,9
393,4
394,9
395,3
396,9
397,3
398,0
399,9
400,1
401,3
402,4
403,6
404,0
405,4
406,9
407,5
408,6
409,4
410,1
411,9
412,0
413,7
414,0
415,4
416,0
417,9
418,3
419,3
420,3
421,9
422,2
423,1
424,3
425,4
426,0
427,7
428,1
429,8
430,0
431,7
432,4
433,3
434,3
435,7
436,0
437,7
438,8
439,3
440,9
441,6
442,2
443,9
444,0
445,3
446,9
447,3
448,4
449,0
450,0
451,2
452,7
453,6
454,7
455,1
456,0
457,2
458,2
459,3
460,3
461,7
462,3
463,2
464,7
465,6
466,4
467,4
468,4
469,3
470,3
471,1
472,1
473,9
474,7
475,4
476,0
477,7
478,4
479,1
480,0
481,9
482,1
483,4
484,0
485,4
486,9
487,7
488,9
489,3
490,0
491,9
492,7
493,6
494,9
495,0
496,5
497,4
498,6
499,3
500,0
501,1
502,2
503,4
504,7
505,0
506,7
507,3
508,2
509,7
510,8
511,2
512,9
513,7
514,2
515,1
516,6
517,7
518,3
519,8
520,8
521,7
522,1
523,3
524,9
525,3
526,5
527,2
528,5
529,6
530,6
531,3
532,7
533,7
534,1
535,9
536,8
537,1
538,6
539,6
540,7
541,3
542,3
543,4
544,0
545,4
546,4
547,1
548,4
549,7
550,0
551,4
552,3
553,3
554,7
555,3
556,3
557,9
558,9
559,4
560,3
561,1
562,4
563,1
564,7
565,4
566,8
567,0
568,5
569,6
570,4
571,9
572,1
573,2
574,9
575,4
576,9
577,7
578,9
579,1
580,4
581,4
582,2
583,9
584,2
585,7
586,0
587,3
588,0
589,4
590,7
591,3
592,2
593,9
594,9
595,0
596,2
597,4
598,8
599,6
600,5
601,0
602,6
603,4
604,9
605,7
606,8
607,7
608,0
609,4
610,4
611,0
612,8
613,6
614,4
615,1
616,3
617,8
618,8
619,4
620,9
621,4
622,7
623,4
624,3
625,7
626,9
627,8
628,0
629,0
630,6
631,0
632,4
633,9
634,6
635,2
636,6
637,7
638,3
639,2
640,1
641,9
642,0
643,7
644,1
645,0
646,5
647,0
648,8
649,1
650,0
651,3
652,5
653,3
654,9
655,7
656,3
657,4
658,3
659,7
660,0
661,7
662,5
663,7
664,8
665,6
666,9
667,3
668,1
669,0
670,7
671,3
672,5
673,8
674,7
675,1
676,8
677,7
678,1
679,8
680,5
681,6
682,5
683,2
684,4
685,9
686,4
687,6
688,7
689,7
690,7
691,9
692,5
693,5
694,2
695,4
696,4
697,3
698,4
699,7
700,8
701,7
702,2
703,7
704,4
705,9
706,3
707,7
708,4
709,1
710,6
711,2
712,2
713,7
714,0
715,9
716,4
717,5
718,9
719,0
720,9
721,9
722,0
723,4
724,4
725,9
726,2
727,4
728,4
729,5
730,2
731,9
732,2
733,7
734,4
735,7
736,7
737,4
738,9
739,9
740,0
741,7
742,2
743,5
744,2
745,9
746,3
747,7
748,2
749,4
750,4
751,8
752,0
753,4
754,7
755,7
756,8
757,7
758,7
759,4
760,8
761,6
762,4
763,1
764,9
765,4
766,0
767,5
768,7
769,7
770,7
771,8
772,2
773,3
774,3
775,0
776,7
777,4
778,7
779,0
780,7
781,0
782,4
783,7
784,0
785,2
786,4
787,3
788,7
789,3
790,9
791,9
792,8
793,0
794,6
795,4
796,9
797,5
798,3
799,7
800,5
801,7
802,6
803,0
804,7
805,4
806,1
807,7
808,8
809,2
810,2
811,4
812,4
813,0
814,5
815,2
816,3
817,7
818,1
819,9
820,1
821,2
822,0
823,7
824,8
825,7
826,8
827,0
828,2
829,9
830,9
831,3
832,9
833,5
834,7
835,4
836,4
837,0
838,3
839,1
840,0
841,0
842,3
843,6
844,6
845,9
846,4
847,0
848,6
849,4
850,7
851,4
852,2
853,8
854,5
855,9
856,7
857,0
858,1
859,4
860,3
861,9
862,3
863,9
864,7
865,2
866,9
867,1
868,0
869,7
870,6
871,8
872,5
873,9
874,7
875,0
876,7
877,2
878,4
879,9
880,7
881,4
