id,label
0,0
1,3
2,0
3,0
4,4
5,2
6,0
7,4
8,9
9,7
10,9
11,9
12,8
13,4
14,2
15,3
16,0
17,2
18,5
19,0
20,6
21,6
22,4
23,7
24,0
25,2
26,9
27,6
28,9
29,5
30,8
31,7
32,8
33,1
34,7
35,9
36,2
37,6
38,3
39,3
40,2
41,0
42,4
43,6
44,3
45,2
46,4
47,9
48,0
49,0
50,4
51,4
52,9
53,7
54,0
55,0
56,7
57,3
58,4
59,9
60,4
61,6
62,9
63,6
64,9
65,0
66,2
67,2
68,9
69,0
70,7
71,2
72,3
73,9
74,9
75,8
76,5
77,3
78,3
79,7
80,6
81,2
82,7
83,8
84,5
85,7
86,2
87,0
88,7
89,6
90,6
91,4
92,0
93,1
94,1
95,9
96,4
97,9
98,0
99,8
100,7
101,9
102,2
103,1
104,0
105,4
106,2
107,9
108,2
109,9
110,2
111,1
112,9
113,6
114,6
115,5
116,0
117,7
118,8
119,3
120,2
121,2
122,6
123,7
124,9
125,8
126,3
127,0
128,1
129,3
130,4
131,3
132,7
133,6
134,2
135,2
136,7
137,7
138,3
139,8
140,2
141,8
142,2
143,3
144,8
145,3
146,9
147,4
148,0
149,3
150,3
151,4
152,4
153,2
154,1
155,8
156,2
157,6
158,3
159,2
160,1
161,0
162,9
163,4
164,6
165,3
166,2
167,7
168,9
169,6
170,8
171,7
172,1
173,4
174,2
175,0
176,1
177,8
178,7
179,2
180,7
181,4
182,6
183,9
184,7
185,0
186,0
187,6
188,5
189,9
190,2
191,8
192,9
193,4
194,0
195,0
196,7
197,9
198,3
199,9
200,7
201,5
202,0
203,7
204,7
205,3
206,9
207,7
208,0
209,6
210,6
211,7
212,7
213,2
214,4
215,7
216,3
217,5
218,3
219,5
220,9
221,2
222,6
223,0
224,0
225,5
226,3
227,9
228,7
229,9
230,9
231,5
232,7
233,7
234,6
235,2
236,7
237,8
238,1
239,0
240,0
241,7
242,9
243,1
244,0
245,8
246,6
247,0
248,3
249,3
250,5
251,8
252,7
253,1
254,4
255,7
256,0
257,9
258,7
259,7
260,4
261,3
262,6
263,1
264,2
265,7
266,2
267,2
268,6
269,6
270,0
271,4
272,7
273,0
274,9
275,9
276,3
277,0
278,3
279,5
280,7
281,5
282,7
283,0
284,5
285,6
286,8
287,4
288,6
289,7
290,7
291,0
292,9
293,4
294,6
295,2
296,4
297,6
298,2
299,7
300,4
301,3
302,2
303,7
304,4
305,6
306,7
307,3
308,4
309,3
310,7
311,3
312,2
313,8
314,0
315,0
316,3
317,1
318,3
319,3
320,2
321,5
322,7
323,3
324,9
325,9
326,9
327,6
328,6
